cell_id,min_lon,max_lon,min_lat,max_lat,centroid_lon,centroid_lat
c48,78.1,78.19999999999999,30.200000000000024,30.300000000000026,78.14999999999999,30.250000000000025
c49,78.1,78.19999999999999,30.300000000000026,30.400000000000027,78.14999999999999,30.350000000000026
c50,78.1,78.19999999999999,30.400000000000027,30.50000000000003,78.14999999999999,30.450000000000028
c51,78.1,78.19999999999999,30.50000000000003,30.60000000000003,78.14999999999999,30.55000000000003
c52,78.1,78.19999999999999,30.60000000000003,30.70000000000003,78.14999999999999,30.65000000000003
c53,78.1,78.19999999999999,30.70000000000003,30.800000000000033,78.14999999999999,30.750000000000032
c54,78.1,78.19999999999999,30.800000000000033,30.900000000000034,78.14999999999999,30.850000000000033
c55,78.1,78.19999999999999,30.900000000000034,31.000000000000036,78.14999999999999,30.950000000000035
c56,78.1,78.19999999999999,31.000000000000036,31.100000000000037,78.14999999999999,31.050000000000036
c57,78.1,78.19999999999999,31.100000000000037,31.20000000000004,78.14999999999999,31.150000000000038
c58,78.1,78.19999999999999,31.20000000000004,31.30000000000004,78.14999999999999,31.25000000000004
c59,78.1,78.19999999999999,31.30000000000004,31.40000000000004,78.14999999999999,31.35000000000004
c60,78.1,78.19999999999999,31.40000000000004,31.500000000000043,78.14999999999999,31.450000000000042
c61,78.19999999999999,78.29999999999998,28.5,28.6,78.24999999999999,28.55
c62,78.19999999999999,78.29999999999998,28.6,28.700000000000003,78.24999999999999,28.650000000000002
c63,78.19999999999999,78.29999999999998,28.700000000000003,28.800000000000004,78.24999999999999,28.750000000000004
c64,78.19999999999999,78.29999999999998,28.800000000000004,28.900000000000006,78.24999999999999,28.850000000000005
c65,78.19999999999999,78.29999999999998,28.900000000000006,29.000000000000007,78.24999999999999,28.950000000000006
c66,78.19999999999999,78.29999999999998,29.000000000000007,29.10000000000001,78.24999999999999,29.050000000000008
c67,78.19999999999999,78.29999999999998,29.10000000000001,29.20000000000001,78.24999999999999,29.15000000000001
c68,78.19999999999999,78.29999999999998,29.20000000000001,29.30000000000001,78.24999999999999,29.25000000000001
c69,78.19999999999999,78.29999999999998,29.30000000000001,29.400000000000013,78.24999999999999,29.350000000000012
c70,78.19999999999999,78.29999999999998,29.400000000000013,29.500000000000014,78.24999999999999,29.450000000000014
c71,78.19999999999999,78.29999999999998,29.500000000000014,29.600000000000016,78.24999999999999,29.550000000000015
c72,78.19999999999999,78.29999999999998,29.600000000000016,29.700000000000017,78.24999999999999,29.650000000000016
c73,78.19999999999999,78.29999999999998,29.700000000000017,29.80000000000002,78.24999999999999,29.750000000000018
c74,78.19999999999999,78.29999999999998,29.80000000000002,29.90000000000002,78.24999999999999,29.85000000000002
c75,78.19999999999999,78.29999999999998,29.90000000000002,30.00000000000002,78.24999999999999,29.95000000000002
c76,78.19999999999999,78.29999999999998,30.00000000000002,30.100000000000023,78.24999999999999,30.050000000000022
c77,78.19999999999999,78.29999999999998,30.100000000000023,30.200000000000024,78.24999999999999,30.150000000000023
c78,78.19999999999999,78.29999999999998,30.200000000000024,30.300000000000026,78.24999999999999,30.250000000000025
c79,78.19999999999999,78.29999999999998,30.300000000000026,30.400000000000027,78.24999999999999,30.350000000000026
c80,78.19999999999999,78.29999999999998,30.400000000000027,30.50000000000003,78.24999999999999,30.450000000000028
c81,78.19999999999999,78.29999999999998,30.50000000000003,30.60000000000003,78.24999999999999,30.55000000000003
c82,78.19999999999999,78.29999999999998,30.60000000000003,30.70000000000003,78.24999999999999,30.65000000000003
c83,78.19999999999999,78.29999999999998,30.70000000000003,30.800000000000033,78.24999999999999,30.750000000000032
c84,78.19999999999999,78.29999999999998,30.800000000000033,30.900000000000034,78.24999999999999,30.850000000000033
c85,78.19999999999999,78.29999999999998,30.900000000000034,31.000000000000036,78.24999999999999,30.950000000000035
c86,78.19999999999999,78.29999999999998,31.000000000000036,31.100000000000037,78.24999999999999,31.050000000000036
c87,78.19999999999999,78.29999999999998,31.100000000000037,31.20000000000004,78.24999999999999,31.150000000000038
